location,area,new/resale,furnished,price
Sec 124 Sunny Enclave,900,1,0,2690000
Mohali Sector 127,910,1,0,2790000
SEC 116 MOHALI KHARAR LANDRAN ROAD,920,0,1,4490000
DLF Mullanpur,2250,1,1,9390000
Patiala Road Zirakpur,540,1,1,1700000
Zirakpur punjab,1710,1,0,6099570
New Chandigarh Mullanpur,1596,1,0,5900000
New Chandigarh Mullanpur,1285,1,0,4500000
New Chandigarh Mullanpur,1596,1,0,6200000
Mullanpur Garibdass,2250,1,0,7100000
Mullanpur New Chandigarh,1596,1,0,6900000
Ambala Highway,1710,1,0,6900000
Mohali Sector 127,1125,1,1,2590000
Sector 88 Mohali,1485,1,0,8500000
Mohali Sec 125,1650,0,0,4000000
Sunny Enclave,1650,0,0,4500000
SEC 115 MOHALI KHARAR LANDRAN ROAD,1230,1,0,3240000
Mohali Sector 127,540,1,0,1890000
SEC 115 MOHALI KHARAR LANDRAN ROAD,970,1,1,2490000
Mohali Sec 124,900,1,1,2690000
Mohali Sector 127,540,1,1,1590000
Mohali Sector 127,930,1,1,2790000
Mohali Sector 127,910,1,0,2790000
SEC 115 MOHALI KHARAR LANDRAN ROAD,990,1,0,2850000
Mohali Sector 127,1620,1,0,3990000
Mohali Sec 70,2150,1,0,6400000
Mohali Sec 90,2100,1,0,6400000
Mohali Sec 71,2100,1,0,6400000
Sector 71,2100,1,0,6400000
DLF Mullanpur,2250,1,0,8590000
New Chandigarh Mullanpur,1800,1,0,4450000
Zirakpur GAzipur Road,1000,1,0,2690000
DLF Mullanpur,2250,1,1,9390000
Mohali Sec 118,1625,1,0,6700000
SEC 115 MOHALI KHARAR LANDRAN ROAD,2565,0,0,4500000
Dhakoli,1730,1,0,8200000
SEC 116 MOHALI KHARAR LANDRAN ROAD,920,0,1,4490000
Mohali Sector 127,560,1,1,1690000
SEC 116 MOHALI KHARAR LANDRAN ROAD,920,1,1,4490000
Mohali Sector 127,1055,1,1,3490000
Mohali Sec 124,1000,1,1,2890000
Vip Road Zirakpur,1650,1,0,4890000
Mohali Sector 127,560,1,1,1590000
Mohali Sector 127,930,1,0,2690000
TDI city,625,0,0,1650000
Mohali Sector 127,880,1,1,2590000
sector 123,1040,1,0,3690000
Sec 124 Sunny Enclave,900,1,0,2690000
Chandigarh,2075,1,0,15400000
Chandigarh,2075,1,0,15500000
Chandigarh,3200,1,0,23700000
Dera Bassi,1200,1,0,2094000
Aerocity Road,1410,1,0,5290000
Zirakpur GAzipur Road,1100,1,0,2690000
Mohali Sector 127,900,1,0,2590000
Kharar Mohali,800,1,0,3300000
Mohali Sector 127,850,1,0,4190000
sector 123,927,1,0,2790000
Kharar Mohali,930,1,0,2690000
Kharar Mohali,930,1,1,2690000
Kharar Mohali,860,1,1,2490000
Kharar Mohali,630,1,1,1590000
Kharar Mohali,1030,1,1,2850000
SEC 115 MOHALI KHARAR LANDRAN ROAD,1550,1,0,3539000
Mohali Sector 127,650,1,1,1790000
SEC 115 MOHALI KHARAR LANDRAN ROAD,860,1,1,5000000
Mohali Sector 127,950,1,0,2890000
Mohali Sector 127,620,1,1,1690000
Mohali Sector 127,1100,1,1,3590000
Mohali Sector 127,620,1,1,1690000
